Observacion	ID	Sexo	SexoNum	Edad	Fuma	Estatura	Colegio	Estrato	Financiacion	Acumulado	P1	P2	P3	Final	Definitiva	Gastos	Ingreso	Gas	Clases	Ley	PandemiaCat	PandemiaNum	Likert1	Likert2	Likert3	Likert4	Likert5	AGPEQ1	AGPEQ2	AGPEQ3	SATS1	SATS2	SATS3	SATS4	IDARE1.1	IDARE1.2	IDARE1.3	IDARE1.4	IDARE1.5	IDARE2.6	IDARE2.7	IDARE2.8	IDARE2.9	IDARE2.10	Puntaje
58	SB11201910045983	Femenino	0	16.42	Si	Baja	Privado	2	Beca	4.72	5	4.4	2.4	3.3	3.78	53.4	1.78	26.13	Presencial	De acuerdo	De acuerdo	3	2	5	2	1	4	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	En desacuerdo	Indeciso	Mucho	Bastante	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	28
59	SB11201910046075	Masculino	1	19.66	Si	Media	Privado	2	Beca	3.82	4	3.8	2.8	4.9	3.88	34.5	1.15	20.74	Presencial	De acuerdo	De acuerdo	3	5	5	1	2	2	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	Totalmente de acuerdo	Poco	Poco	Poco	Poco	Poco	Algunas veces	Algunas veces	Casi nunca	Frecuentemente	Casi siempre	26
60	SB11201910046027	Masculino	1	18.51	Si	Media	Privado	1	Beca	3.45	2	3.4	3.1	3	2.88	37.5	1.25	25.84	Virtual	En desacuerdo	De acuerdo	3	3	5	3	1	1	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Algunas veces	Algunas veces	Casi nunca	Casi nunca	Casi nunca	26
61	SB11201910045892	Femenino	0	17.75	Si	Baja	Privado	1	Beca	3.62	2.4	4.2	2.4	1.6	2.65	57	1.9	21.99	Presencial	En desacuerdo	De acuerdo	3	1	3	4	3	2	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Casi siempre	Algunas veces	Casi nunca	Algunas veces	25
62	SB11201910022784	Femenino	0	16.52	Si	Media	Privado	1	Beca	4.56	4.3	5	1.8	2.5	3.4	44.7	1.49	24.49	Virtual	De acuerdo	De acuerdo	3	5	3	3	2	5	Totalmente de acuerdo	De acuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	No en lo absoluto	Poco	Bastante	Bastante	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	24
63	SB11201910013511	Femenino	0	16.71	Si	Alta	Privado	2	Beca	3.81	2.8	3.8	1.6	3.7	2.98	40.5	1.35	25.69	Presencial	En desacuerdo	De acuerdo	3	3	1	3	2	2	De acuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	De acuerdo	En desacuerdo	En desacuerdo	Bastante	Poco	No en lo absoluto	No en lo absoluto	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi siempre	Algunas veces	24
64	SB11201910013496	Masculino	1	16.37	Si	Media	Privado	1	Beca	4.13	3	4.4	3.3	4.4	3.78	34.8	1.16	27.13	Virtual	En desacuerdo	De acuerdo	3	1	4	3	4	5	De acuerdo	En desacuerdo	Totalmente de acuerdo	Indeciso	En desacuerdo	En desacuerdo	Indeciso	Poco	Poco	Bastante	Poco	Bastante	Casi siempre	Frecuentemente	Frecuentemente	Casi siempre	Casi siempre	24
65	SB11201910014696	Masculino	1	16.89	Si	Baja	Privado	1	Beca	3.58	3.1	4	4.4	4.1	3.9	38.7	1.29	19.96	Virtual	En desacuerdo	De acuerdo	3	5	2	2	5	2	De acuerdo	De acuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Poco	Poco	Bastante	No en lo absoluto	Poco	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	22
66	SB11201910013469	Masculino	1	18.15	No	Media	Privado	1	Beca	4.1	5	2.6	1	4.1	3.18	85.5	2.85	23.29	Virtual	De acuerdo	De acuerdo	3	5	3	1	2	4	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Mucho	Mucho	Poco	Poco	Bastante	Frecuentemente	Casi nunca	Casi nunca	Casi nunca	Algunas veces	21
67	SB11201910047496	Femenino	0	19.1	No	Baja	Privado	3	Beca	4.31	3.7	4.2	4.5	3.4	3.95	44.7	1.49	27.07	Presencial	En desacuerdo	De acuerdo	3	4	3	5	1	1	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	27
68	SB11201910013576	Masculino	1	16.65	No	Media	Privado	3	Beca	4.42	4.4	4.7	2	3.7	3.7	39.9	1.33	23.63	Virtual	De acuerdo	De acuerdo	3	4	2	3	2	5	En desacuerdo	En desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Poco	Poco	Bastante	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	19
69	SB11201910014705	Femenino	0	18.43	No	Media	Privado	2	Beca	4.11	3.8	3.5	4.2	2.5	3.5	39	1.3	27.18	Presencial	En desacuerdo	De acuerdo	3	2	1	1	2	3	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	De acuerdo	De acuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	Algunas veces	18
70	SB11201910013426	Masculino	1	19	No	Media	Privado	2	Beca	3.9	2.6	4.2	4.2	2.8	3.45	35.6	1.02	26.7	Virtual	En desacuerdo	De acuerdo	3	2	4	4	3	2	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Poco	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Frecuentemente	18
71	SB11201910022798	Masculino	1	21.43	Si	Media	Privado	2	Beca	4	4.5	3.1	3.1	2	3.18	48.6	1.61	23.56	Presencial	De acuerdo	De acuerdo	3	2	2	1	5	4	Totalmente en desacuerdo	De acuerdo	En desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Poco	Bastante	Bastante	Poco	Poco	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Frecuentemente	17
72	SB11201910035823	Masculino	1	16.63	No	Baja	Privado	2	Beca	2.88	1.5	2.5	2.3	4.4	2.68	46.5	1.55	23.11	Virtual	De acuerdo	De acuerdo	3	2	5	1	5	4	En desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Indeciso	Totalmente en desacuerdo	Bastante	Poco	Bastante	Poco	Bastante	Algunas veces	Casi nunca	Casi nunca	Casi nunca	Casi nunca	17
73	SB11201910064436	Femenino	0	19.71	No	Media	Privado	1	Beca	3.56	1.5	4.2	2.6	2.1	2.6	48.9	1.63	25.54	Presencial	De acuerdo	De acuerdo	3	4	5	1	3	4	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Frecuentemente	Casi nunca	Casi nunca	12
74	SB11201910058624	Masculino	1	19.82	No	Media	Privado	1	Beca	3.95	4	3.3	2.7	1.8	2.95	37.5	1.25	24.74	Presencial	En desacuerdo	De acuerdo	3	2	3	3	1	2	En desacuerdo	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	En desacuerdo	Indeciso	Totalmente de acuerdo	Poco	Poco	Poco	Poco	Poco	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Casi siempre	18
75	SB11201910047596	Femenino	0	17.88	No	Baja	Privado	3	Beca	3.78	4	2.7	2.4	2.7	2.95	75.3	2.51	23.08	Virtual	De acuerdo	De acuerdo	3	5	1	3	2	4	Totalmente en desacuerdo	De acuerdo	De acuerdo	De acuerdo	Indeciso	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Frecuentemente	11
76	SB11201910058846	Femenino	0	18.21	No	Media	Privado	1	Beca	3.82	3	3.5	2.2	3.8	3.13	68.7	2.29	24.83	Virtual	En desacuerdo	De acuerdo	3	4	4	2	4	1	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	Indeciso	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Frecuentemente	Frecuentemente	Casi siempre	Casi siempre	9
77	SB11201910012200	Femenino	0	16.73	No	Media	Privado	2	Beca	3.38	2.8	3.6	2.8	4.1	3.33	54.6	1.82	19.36	Presencial	De acuerdo	De acuerdo	3	3	3	5	1	2	Totalmente de acuerdo	De acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Casi nunca	18
78	SB11201910018381	Femenino	0	16.19	No	Baja	Privado	2	Beca	4.02	3.4	4.1	2.4	3.1	3.25	55.2	1.84	24.02	Virtual	En desacuerdo	De acuerdo	3	3	2	5	5	2	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Poco	Poco	Bastante	Bastante	Poco	Frecuentemente	Casi siempre	Frecuentemente	Frecuentemente	Frecuentemente	20
79	SB11201910020806	Masculino	1	20	No	Media	Privado	1	Beca	3.2	2.9	1.7	1.9	3.6	2.53	58.8	1.96	24.68	Virtual	De acuerdo	De acuerdo	3	3	1	1	1	3	En desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	En desacuerdo	Poco	Bastante	Poco	Poco	Poco	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Algunas veces	22
80	SB11201910016948	Masculino	1	18.41	Si	Alta	Privado	1	Beca	4.22	4.7	3.5	2.4	4.6	3.8	47.8	1.59	24.28	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	1	1	1	2	1	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Casi nunca	24
81	SB11201910018401	Masculino	1	21.74	No	Media	Privado	3	Beca	2.96	2.4	1.7	1.7	4.3	2.53	51.9	1.73	23.55	Virtual	En desacuerdo	De acuerdo	3	1	2	4	1	1	Totalmente de acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Algunas veces	26
82	SB11201910020798	Masculino	1	20.83	No	Media	Privado	3	Beca	3.98	4.5	2.4	2.9	3.4	3.3	42.6	1.42	26.8	Presencial	En desacuerdo	De acuerdo	3	2	1	5	4	2	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Poco	Bastante	Poco	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Frecuentemente	28
83	SB11201910018391	Masculino	1	17.25	No	Media	Privado	1	Beca	3.71	4.3	3	2.4	3.9	3.4	31.8	1.06	21.37	Presencial	De acuerdo	De acuerdo	3	3	5	1	1	4	Totalmente en desacuerdo	Totalmente en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Casi siempre	Frecuentemente	Frecuentemente	Frecuentemente	81
84	SB11201910020785	Femenino	0	17.32	No	Baja	Privado	2	Beca	3.5	2.8	2.2	2.2	3.3	2.63	66.9	2.23	26.98	Presencial	En desacuerdo	De acuerdo	3	2	2	3	2	1	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Poco	Casi siempre	Casi nunca	Casi nunca	Casi nunca	Casi nunca	78
85	SB11201910020838	Femenino	0	18.14	No	Media	Privado	3	Beca	3.73	4.5	2.7	2.8	4.3	3.58	77.1	2.57	19.89	Presencial	De acuerdo	De acuerdo	3	2	2	1	4	3	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Poco	Poco	Bastante	Poco	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	77
86	SB11201910016953	Masculino	1	20.05	Si	Baja	Privado	1	Beca	3.09	4.3	1.5	3.2	4.1	3.28	79.8	2.66	16.36	Virtual	De acuerdo	De acuerdo	3	5	1	2	1	3	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	No en lo absoluto	No en lo absoluto	Poco	Casi siempre	Algunas veces	Frecuentemente	Frecuentemente	Casi nunca	70
87	SB11201910016935	Masculino	1	17.56	No	Media	Privado	1	Beca	3.87	4.8	2.5	3.1	3.6	3.5	38.1	1.07	23.84	Presencial	En desacuerdo	De acuerdo	3	5	3	2	1	3	Totalmente de acuerdo	De acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Poco	Bastante	No en lo absoluto	No en lo absoluto	Poco	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	68
88	SB11201910018389	Femenino	0	19.85	No	Baja	Privado	1	Beca	3.96	4.8	1.6	2.7	4.4	3.38	67.2	2.24	27.49	Presencial	En desacuerdo	De acuerdo	3	1	4	5	1	4	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	Poco	Poco	Poco	Poco	Mucho	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	65
89	SB11201910022580	Masculino	1	18.81	No	Baja	Privado	2	Beca	3.45	3	2.2	2.5	2.2	2.48	34.5	1.15	26.96	Presencial	En desacuerdo	De acuerdo	3	3	2	5	4	2	En desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	Indeciso	Bastante	Mucho	Poco	No en lo absoluto	Bastante	Algunas veces	Algunas veces	Casi nunca	Casi nunca	Casi nunca	54
90	SB11201910028681	Masculino	1	21.89	No	Media	Privado	1	Beca	4.07	4.8	2.3	3.5	3.9	3.63	65.7	2.19	26.13	Presencial	En desacuerdo	De acuerdo	3	3	1	5	3	4	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	En desacuerdo	Indeciso	Poco	Poco	Bastante	Bastante	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	50
91	SB11201910012813	Masculino	1	16.73	No	Baja	Privado	1	Beca	3.83	4.8	2.3	3.3	2.5	3.23	59.7	1.99	22.68	Virtual	De acuerdo	De acuerdo	3	5	1	4	1	5	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	De acuerdo	No en lo absoluto	Bastante	Bastante	Poco	No en lo absoluto	Casi siempre	Algunas veces	Casi nunca	Algunas veces	Casi siempre	36
92	SB11201910021268	Masculino	1	19.02	Si	Media	Privado	1	Beca	4.62	3.5	5	2.1	4.4	3.83	75.3	2.51	27.63	Virtual	De acuerdo	De acuerdo	3	2	3	1	3	2	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Algunas veces	35
93	SB11201910005660	Masculino	1	20.64	No	Alta	Privado	2	Beca	3.59	1.5	4.5	3.3	3.1	3.1	30.3	1.01	25.58	Virtual	De acuerdo	En desacuerdo	1	1	4	1	1	2	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Poco	Bastante	Poco	Poco	Bastante	Algunas veces	Algunas veces	Algunas veces	Casi siempre	Algunas veces	35
94	SB11201910021257	Masculino	1	20.9	No	Media	Privado	1	Beca	3.87	5	2.7	2.1	2.8	3.15	51.9	1.73	21.05	Presencial	En desacuerdo	De acuerdo	3	3	5	4	2	5	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	34
95	SB11201910009353	Masculino	1	16.52	No	Baja	Privado	1	Beca	3.77	4.3	2.2	3.7	4	3.55	36.9	1.23	25.76	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	2	1	4	4	De acuerdo	De acuerdo	De acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	Poco	Poco	Bastante	Poco	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Algunas veces	30
96	SB11201910021272	Femenino	0	20.64	No	Media	Privado	1	Beca	4.13	3	4.3	5	3.4	3.93	48	1.6	27.01	Presencial	En desacuerdo	De acuerdo	3	2	4	5	3	5	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	De acuerdo	Poco	Poco	Poco	Bastante	Poco	Frecuentemente	Frecuentemente	Algunas veces	Frecuentemente	Algunas veces	28
97	SB11201910004115	Masculino	1	19.44	Si	Media	Privado	1	Beca	2.83	2	1	3.7	4	2.68	87.7	2.91	24.85	Presencial	En desacuerdo	De acuerdo	3	2	5	5	3	1	De acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Mucho	Mucho	No en lo absoluto	No en lo absoluto	Mucho	Casi siempre	Frecuentemente	Frecuentemente	Frecuentemente	Algunas veces	28
98	SB11201910009323	Masculino	1	21.15	No	Media	Privado	1	Beca	3.47	2	3.3	2	4.3	2.9	70.5	2.35	24.95	Presencial	De acuerdo	De acuerdo	3	2	5	4	2	4	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	De acuerdo	En desacuerdo	Bastante	Poco	Poco	Bastante	Bastante	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Frecuentemente	28
99	SB11201910005666	Masculino	1	18.08	Si	Alta	Privado	1	Beca	3.3	3	3.2	5	3.9	3.78	35.1	1.17	20.12	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	5	5	1	4	Totalmente en desacuerdo	En desacuerdo	En desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	De acuerdo	Poco	No en lo absoluto	Bastante	Bastante	Poco	Algunas veces	Casi nunca	Algunas veces	Frecuentemente	Casi siempre	28
100	SB11201910047409	Masculino	1	19.59	Si	Baja	Privado	3	Beca	4.43	4	4.3	5	4	4.33	44.7	1.49	27.11	Presencial	En desacuerdo	De acuerdo	3	1	1	3	3	3	En desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Casi siempre	Casi nunca	Casi nunca	Casi nunca	Casi nunca	26
101	SB11201910017256	Femenino	0	21.64	Si	Alta	Privado	2	Beca	3.36	2.2	3.3	4.2	3.5	3.3	79.1	2.65	21.92	Presencial	De acuerdo	De acuerdo	3	2	2	5	1	3	Totalmente de acuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	Indeciso	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Algunas veces	Casi nunca	Casi nunca	Casi nunca	Algunas veces	26
102	SB11201910021254	Masculino	1	18.19	Si	Alta	Privado	1	Beca	3.08	2.5	3	3.5	2.4	2.85	62.4	2.08	18.51	Presencial	En desacuerdo	De acuerdo	3	3	3	3	5	5	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	De acuerdo	Indeciso	Indeciso	Poco	Bastante	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	Frecuentemente	25
103	SB11201910009318	Femenino	0	17.55	Si	Media	Privado	1	Beca	3.45	3.1	2	5	2.3	3.1	54	1.8	26.31	Presencial	En desacuerdo	De acuerdo	3	5	3	2	4	5	De acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Indeciso	De acuerdo	Bastante	Bastante	No en lo absoluto	Poco	No en lo absoluto	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Casi nunca	24
104	SB11201910005663	Femenino	0	17.48	Si	Baja	Privado	1	Beca	3.71	3.3	3.7	3.7	2.2	3.23	33.9	1.13	22.69	Virtual	En desacuerdo	De acuerdo	3	2	1	3	2	1	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Totalmente en desacuerdo	Indeciso	Poco	Bastante	Bastante	Poco	Bastante	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Algunas veces	24
105	SB11201910004145	Masculino	1	18.84	Si	Media	Privado	3	Beca	3.38	2.5	3.7	2	4.5	3.18	49.6	1.64	20.48	Virtual	De acuerdo	De acuerdo	3	2	3	4	4	5	Totalmente de acuerdo	En desacuerdo	De acuerdo	Indeciso	Indeciso	En desacuerdo	En desacuerdo	Bastante	Bastante	Poco	Poco	Mucho	Frecuentemente	Casi siempre	Algunas veces	Casi nunca	Algunas veces	24
106	SB11201910017269	Femenino	0	17.8	No	Media	Privado	1	Beca	3.65	3.4	3.7	5	3.1	3.8	44.4	1.48	20.75	Virtual	En desacuerdo	En desacuerdo	1	5	3	3	1	4	Ni de acuerdo, ni en desacuerdo	En desacuerdo	De acuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Algunas veces	22
107	SB11201910009280	Femenino	0	19.08	No	Media	Privado	2	Credito	3.39	2.3	3.7	5	4	3.75	39	1.3	22.08	Presencial	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	5	5	5	5	1	De acuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Indeciso	Indeciso	Indeciso	Poco	Poco	Poco	No en lo absoluto	Poco	Casi siempre	Algunas veces	Algunas veces	Casi nunca	Casi nunca	20
108	SB11201910004152	Masculino	1	19.62	No	Media	Privado	1	Credito	3.27	3	3.5	4.2	4	3.68	34.5	1.15	18.22	Presencial	De acuerdo	De acuerdo	3	1	5	3	3	5	Totalmente en desacuerdo	Totalmente en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Bastante	Poco	Bastante	Bastante	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Algunas veces	20
109	SB11201910031876	Masculino	1	21.87	Si	Baja	Privado	1	Beca	3.08	3	3	3.5	5	3.63	43.1	1.32	17.37	Virtual	De acuerdo	De acuerdo	3	2	1	3	2	1	Totalmente de acuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	Poco	Poco	Bastante	Mucho	Poco	Casi siempre	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	19
110	SB11201910005659	Masculino	1	18.95	Si	Media	Privado	1	Beca	3.37	4.2	2.5	4.6	3.3	3.47	48.3	1.61	18.15	Virtual	En desacuerdo	En desacuerdo	1	3	4	1	4	1	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Indeciso	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Casi nunca	Casi nunca	Algunas veces	18
111	SB11201910021259	Femenino	0	20.81	Si	Alta	Privado	1	Beca	3.83	3.2	3.6	3.8	3.3	3.57	25.1	1.37	24.97	Presencial	En desacuerdo	De acuerdo	3	4	5	5	5	1	En desacuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	Indeciso	Indeciso	Bastante	Bastante	Poco	Poco	Bastante	Algunas veces	Frecuentemente	Algunas veces	Casi siempre	Algunas veces	18
112	SB11201910009275	Masculino	1	19.17	Si	Baja	Privado	1	Beca	3.25	2.5	3.3	4.3	3.9	3.5	34.2	1.14	21.13	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	2	2	1	5	1	Totalmente de acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	Indeciso	Indeciso	Poco	Poco	Bastante	No en lo absoluto	Poco	Frecuentemente	Casi nunca	Algunas veces	Algunas veces	Algunas veces	17
113	SB11201910024680	Masculino	1	20.75	No	Alta	Privado	1	Beca	3.77	3	4.2	3	4	3.55	44.1	1.47	22.14	Virtual	En desacuerdo	De acuerdo	3	5	4	5	3	2	En desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	De acuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Frecuentemente	Casi nunca	Algunas veces	Algunas veces	17
114	SB11201910024695	Masculino	1	20.6	Si	Alta	Privado	1	Beca	4.07	4.5	4.4	3.8	3	3.93	43.8	1.46	19.03	Presencial	De acuerdo	En desacuerdo	1	3	4	5	2	2	Totalmente de acuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Indeciso	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Poco	Poco	Bastante	No en lo absoluto	Bastante	Algunas veces	Casi nunca	Algunas veces	Casi siempre	Frecuentemente	12
115	SB11201910024824	Masculino	1	19.14	Si	Media	Privado	1	Beca	4.03	3.8	5	3.4	2.5	3.68	43	1.1	19.45	Virtual	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	3	3	2	4	3	Totalmente en desacuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	Mucho	Mucho	No en lo absoluto	No en lo absoluto	Bastante	Casi siempre	Algunas veces	Casi nunca	Algunas veces	Casi siempre	10
